Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Devonte' Graham,PG,CHA,63,2211,1145,38.2,37.3,82,471,15,62,212,181,1416852
Hamidou Diallo,SG,OKC,38,699,233,45.2,20,62.2,22,8,28,122,37,1416852
Isaiah Hartenstein,PF,HOU,23,266,107,65.7,0,67.9,18,12,9,90,16,1416852
Jalen Brunson,PG,DAL,57,1022,466,46.6,35.8,81.3,188,4,22,134,66,1416852
Jevon Carter,PG,PHX,50,754,231,40,39.3,84,65,13,38,98,31,1416852
Keita Bates-Diop,SF,MIN,37,646,251,42.2,33,70.8,30,20,17,110,14,1416852
Melvin Frazier Jr.,SF,ORL,15,51,18,35.3,57.1,50,1,2,4,4,3,1416852
Isaac Bonga,PG,WAS,58,1026,266,52.2,40,81.3,61,21,37,183,41,1416842
Bruno Fernando,PF,ATL,56,713,240,51.8,13.5,56.9,49,17,18,198,42,1400000
Carmelo Anthony,PF,POR,50,1623,763,42.6,37.1,84.3,79,23,40,313,87,1364204
Carsen Edwards,PG,BOS,35,316,106,32.7,30.9,84.6,22,3,10,43,15,1228026
Cody Martin,PF,CHA,48,903,238,43,23.4,64.6,95,9,39,158,44,1173310
Terance Mann,PG,LAC,35,271,56,40.7,25,75,38,5,8,33,14,1000000
Caleb Martin,PG,CHA,18,317,111,44,54.1,81,23,7,12,38,15,898310
Daniel Gafford,PF,CHI,43,609,220,70.1,0,53.3,21,56,13,106,29,898310
Dewan Hernandez,PF,TOR,4,11,4,20,0,100,0,0,1,7,1,898310
Ignas Brazdeikis,PF,NYK,9,53,17,27.3,11.1,80,4,1,0,5,2,898310
Jalen Lecque,PG,PHX,4,26,10,40,0,100,2,0,0,0,1,898310
Jalen McDaniels,PF,CHA,16,293,89,47.1,37.5,82.4,13,3,8,65,11,898310
Javonte Green,PF,BOS,44,414,127,50,26.1,63.9,23,7,23,80,18,898310
Justin James,PG,SAC,34,218,85,42.3,34.6,47.6,16,9,6,30,8,898310
Nicolas Claxton,PF,BKN,15,187,66,56.3,14.3,52.4,16,8,1,44,9,898310
Talen Horton-Tucker,PG,LAL,2,5,0,0,0,0,2,0,1,0,0,898310
Terence Davis,PF,TOR,64,1087,495,46.3,39.6,86.5,107,12,32,217,65,898310
Vlatko Cancar,SF,DEN,14,45,17,40,16.7,100,3,1,1,10,3,898310
Damion Lee,SG,GSW,49,1423,621,41.7,35.6,87.3,133,6,50,239,67,842327
Marquese Chriss,PF,GSW,59,1196,548,54.5,20.5,76.9,114,62,39,365,78,654469
Timothe Luwawu-Cabarrot,SG,BKN,39,671,247,40.6,35.8,83.9,25,6,15,91,32,654469
Michael Kidd-Gilchrist,SF,CHA,12,160,48,34,29.4,77.8,10,3,0,35,7,595122
Chris Clemons,PG,HOU,29,251,141,40.5,35.1,85.7,22,5,6,23,17,563347
Brandon Goodwin,PG,ATL,34,430,206,40,29.9,93.3,51,4,12,72,29,522738
DeMarre Carroll,SF,SAS,15,135,33,31,23.1,60,11,2,2,31,10,512721
Reggie Jackson,PG,DET,14,381,209,38.4,37.8,78.8,72,1,8,41,23,512721
Jeff Green,SF,UTA,30,553,233,38.5,32.7,77.8,20,10,12,81,27,439475
Troy Daniels,SG,LAL,41,456,174,39.2,35.7,62.5,14,3,8,46,9,384541
Ky Bowman,PG,GSW,45,1015,335,41.7,30.8,82.9,131,10,44,121,70,350189
